sensor_status,sensor_errors
443,"Lightning failed,Lightning noise,Pressure,Temperature,RH,Precipitation,Light/UV"
444,"Lightning disturber,Pressure,Temperature,RH,Precipitation,Light/UV"
445,"Lightning failed,Lightning disturber,Pressure,Temperature,RH,Precipitation,Light/UV"
446,"Lightning noise,Lightning disturber,Pressure,Temperature,RH,Precipitation,Light/UV"
447,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,RH,Precipitation,Light/UV"
448,"Wind,Precipitation,Light/UV"
449,"Lightning failed,Wind,Precipitation,Light/UV"
450,"Lightning noise,Wind,Precipitation,Light/UV"
451,"Lightning failed,Lightning noise,Wind,Precipitation,Light/UV"
452,"Lightning disturber,Wind,Precipitation,Light/UV"
453,"Lightning failed,Lightning disturber,Wind,Precipitation,Light/UV"
454,"Lightning noise,Lightning disturber,Wind,Precipitation,Light/UV"
455,"Lightning failed,Lightning noise,Lightning disturber,Wind,Precipitation,Light/UV"
456,"Pressure,Wind,Precipitation,Light/UV"
457,"Lightning failed,Pressure,Wind,Precipitation,Light/UV"
458,"Lightning noise,Pressure,Wind,Precipitation,Light/UV"
459,"Lightning failed,Lightning noise,Pressure,Wind,Precipitation,Light/UV"
460,"Lightning disturber,Pressure,Wind,Precipitation,Light/UV"
461,"Lightning failed,Lightning disturber,Pressure,Wind,Precipitation,Light/UV"
462,"Lightning noise,Lightning disturber,Pressure,Wind,Precipitation,Light/UV"
463,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Wind,Precipitation,Light/UV"
464,"Temperature,Wind,Precipitation,Light/UV"
465,"Lightning failed,Temperature,Wind,Precipitation,Light/UV"
466,"Lightning noise,Temperature,Wind,Precipitation,Light/UV"
467,"Lightning failed,Lightning noise,Temperature,Wind,Precipitation,Light/UV"
468,"Lightning disturber,Temperature,Wind,Precipitation,Light/UV"
469,"Lightning failed,Lightning disturber,Temperature,Wind,Precipitation,Light/UV"
470,"Lightning noise,Lightning disturber,Temperature,Wind,Precipitation,Light/UV"
471,"Lightning failed,Lightning noise,Lightning disturber,Temperature,Wind,Precipitation,Light/UV"
472,"Pressure,Temperature,Wind,Precipitation,Light/UV"
473,"Lightning failed,Pressure,Temperature,Wind,Precipitation,Light/UV"
474,"Lightning noise,Pressure,Temperature,Wind,Precipitation,Light/UV"
475,"Lightning failed,Lightning noise,Pressure,Temperature,Wind,Precipitation,Light/UV"
476,"Lightning disturber,Pressure,Temperature,Wind,Precipitation,Light/UV"
477,"Lightning failed,Lightning disturber,Pressure,Temperature,Wind,Precipitation,Light/UV"
478,"Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Precipitation,Light/UV"
479,"Lightning failed,Lightning noise,Lightning disturber,Pressure,Temperature,Wind,Precipitation,Light/UV"
480,"RH,Wind,Precipitation,Light/UV"
481,"Lightning failed,RH,Wind,Precipitation,Light/UV"
482,"Lightning noise,RH,Wind,Precipitation,Light/UV"
